idx,id
0,5027
1,5029
2,5030
3,5032
4,5033
5,5035
6,5036
7,5037
8,5038
9,5039
10,5040
11,5043
12,5044
13,5045
14,5046
15,5049
16,5053
17,5054
18,5055
19,5056
20,5061
21,5062
22,5063
23,5064
24,5065
25,5066
26,5075
27,5076
28,5077
29,5078
30,5079
31,5080
32,5081
33,5082
34,5083
35,5084
36,5085
37,5087
38,5088
39,5089
40,5090
41,5092
42,5093
43,5094
44,5095
45,5096
46,5097
47,5098
48,5099
49,5101
50,5102
51,5103
52,5104
53,5105
54,5107
55,5108
56,5109
57,5111
58,5300
59,5301
60,5302
61,5304
62,5306
63,5308
64,5309
65,5310
66,5311
67,5313
68,5315
69,5316
70,5318
71,5319
72,5320
73,5321
74,5322
75,5323
76,5324
77,5328
78,5329
79,5330
80,5331
81,5332
82,5333
83,544
84,5474
85,5475
86,5476
87,5477
88,5478
89,5480
90,5481
91,5483
92,5484
93,5486
94,5487
95,5488
96,5489
97,5490
98,5491
99,5493
100,5495
101,5496
102,5497
103,5501
104,5502
105,5503
106,5504
107,551
108,552
109,554
110,555
111,556
112,557
113,559
114,562
115,564
116,569
117,571
118,572
119,574
120,581
121,583
122,584
123,585
124,586
125,A559
126,A562
127,APUM
128,APUT
129,ATDM
130,B305
131,B312
132,B562
133,C833
134,C836
135,DMLS
136,EPAP
137,LDUM
138,LSDT
139,MKSB
140,T431
141,T433
142,T435
143,T439
144,T440
145,X053
146,X054
147,X055
148,X056
149,X061
150,X062
151,X063
152,X064
153,X065
154,X066
155,X092
156,X097
157,X301
158,X302
159,X480
160,X484
161,X487
162,X489
163,X491
164,X493
165,X559
166,X562
