src,dst
124,253
125,217
125,246
125,247
125,251
125,269
125,270
126,217
126,251
126,269
126,270
126,271
127,205
127,216
127,217
127,218
127,219
128,216
128,217
128,218
128,219
129,204
129,213
129,214
130,213
130,214
130,215
131,248
131,273
132,272
132,273
133,0
133,2
133,3
133,4
133,6
134,1
134,5
134,7
135,18
135,21
136,18
136,21
136,23
137,18
137,21
137,25
138,17
138,19
138,20
139,17
139,19
139,46
140,27
140,29
140,30
140,45
140,47
141,27
141,34
141,35
141,37
141,41
141,45
141,47
142,27
142,29
142,30
142,47
143,27
143,34
143,35
143,37
143,47
144,20
144,24
144,26
144,28
144,32
145,26
145,28
145,32
146,22
146,26
146,28
146,32
147,24
147,26
147,27
147,28
147,29
147,30
147,47
148,26
148,27
148,28
148,29
148,30
148,47
149,22
149,26
149,27
149,28
149,29
149,30
149,47
150,31
151,32
151,33
151,36
151,38
151,39
152,109
153,98
153,100
153,108
153,109
153,172
153,173
153,199
153,200
153,235
153,236
154,98
154,100
154,108
154,109
154,172
154,173
154,199
154,200
154,201
154,202
154,235
154,236
155,98
155,100
155,108
155,109
155,172
155,173
155,234
155,235
155,236
156,98
156,100
156,108
156,109
156,172
156,173
156,232
156,233
156,234
156,235
156,236
157,108
157,109
157,169
157,170
157,171
157,172
157,173
158,108
158,109
158,167
158,168
158,169
158,170
158,171
158,172
158,173
159,108
159,109
159,110
159,111
160,108
160,109
160,110
160,111
160,112
160,113
160,114
160,115
160,116
161,111
161,112
161,113
161,114
161,115
161,116
162,111
162,112
162,113
162,114
163,191
163,208
163,209
164,113
164,114
164,115
164,116
164,206
165,113
165,114
165,206
166,114
166,115
166,116
166,207
166,208
167,114
167,207
167,208
168,190
168,191
168,207
168,208
168,209
169,207
169,208
169,209
170,114
170,115
170,208
171,113
171,114
171,115
172,110
172,111
172,112
172,113
172,114
172,115
173,111
173,112
173,113
173,114
173,115
174,111
174,112
174,113
174,114
174,115
174,171
174,172
174,173
174,174
175,95
175,96
175,111
175,112
175,113
175,114
175,115
175,171
175,172
175,173
175,174
176,117
176,118
176,119
176,120
176,189
177,117
177,118
177,119
177,120
177,121
177,189
177,190
177,191
178,117
178,118
178,119
178,120
178,189
179,115
179,116
179,117
179,118
179,119
179,120
179,189
180,119
180,120
180,155
180,156
180,157
180,158
180,189
181,119
181,120
181,155
181,156
181,157
181,158
181,167
181,168
181,169
181,189
182,70
182,71
182,72
182,119
182,120
182,155
182,156
182,189
183,70
183,71
183,72
183,102
183,103
183,104
183,119
183,120
183,155
183,156
183,189
184,71
184,72
184,119
184,120
184,155
184,156
184,189
184,231
184,232
185,71
185,72
185,119
185,120
185,155
185,156
185,189
185,231
185,232
185,233
185,234
186,71
186,72
186,119
186,120
186,155
186,156
186,189
186,202
186,203
187,71
187,72
187,119
187,120
187,155
187,156
187,189
187,200
187,201
187,202
187,203
188,117
188,154
188,156
188,157
188,158
189,117
189,118
189,119
189,120
189,121
190,117
190,118
190,119
190,120
190,121
190,122
190,123
191,117
191,118
191,119
191,120
191,189
192,117
192,118
192,119
192,120
192,187
192,188
192,189
193,117
193,118
193,119
193,120
193,121
194,117
194,118
194,119
194,120
194,121
194,190
194,191
195,117
195,118
195,119
195,120
195,121
196,115
196,116
196,117
196,118
196,119
196,120
196,121
197,120
197,121
197,154
197,156
197,157
197,158
198,120
198,121
198,154
198,156
198,157
198,158
198,167
198,168
198,169
199,70
199,71
199,73
199,120
199,121
199,154
199,156
200,70
200,71
200,73
200,102
200,103
200,104
200,120
200,121
200,154
200,156
201,71
201,73
201,120
201,121
201,154
201,156
201,231
201,232
202,71
202,73
202,120
202,121
202,154
202,156
202,231
202,232
202,233
202,234
203,71
203,73
203,120
203,121
203,154
203,156
203,202
203,203
204,71
204,73
204,120
204,121
204,154
204,156
204,200
204,201
204,202
204,203
205,117
205,154
205,156
205,157
205,158
206,117
206,118
206,119
206,120
206,121
207,117
207,118
207,119
207,120
207,121
207,122
207,123
208,117
208,118
208,119
208,120
208,189
209,117
209,118
209,119
209,120
209,187
209,188
209,189
210,122
210,123
210,124
210,125
211,124
211,125
211,126
212,124
212,125
212,184
212,185
213,124
213,125
213,184
213,185
214,124
214,125
214,184
214,185
215,124
215,125
215,184
215,185
216,124
216,125
216,184
216,185
217,184
217,185
217,186
218,184
218,185
218,186
219,184
219,185
219,186
220,184
220,185
220,186
221,184
221,185
221,186
222,184
222,185
222,186
222,187
222,188
223,122
223,123
223,124
223,125
223,184
223,185
224,184
224,185
224,186
224,187
224,188
225,122
225,123
225,124
225,125
225,184
225,185
226,184
226,185
226,186
226,187
226,188
227,122
227,123
227,124
227,125
227,184
227,185
228,184
228,185
228,186
228,187
228,188
229,122
229,123
229,124
229,125
229,184
229,185
230,184
230,185
230,186
230,187
230,188
231,122
231,123
231,124
231,125
231,184
231,185
232,85
232,86
232,87
232,88
233,180
233,181
233,182
234,90
234,91
234,92
234,93
234,94
234,95
235,93
235,94
235,95
235,175
235,176
236,176
236,177
236,178
237,94
237,95
237,105
238,174
238,175
238,176
239,96
239,97
239,99
239,198
239,199
239,200
239,201
239,202
239,237
240,96
240,97
240,99
240,198
240,199
240,200
240,201
240,202
240,237
241,96
241,97
241,98
241,100
241,234
241,235
241,237
242,96
242,97
242,99
242,198
242,199
242,232
242,233
242,234
242,235
242,237
243,96
243,98
243,100
243,172
243,173
243,174
243,234
243,235
243,237
244,96
244,98
244,100
244,172
244,173
244,174
244,232
244,233
244,234
244,235
244,237
245,96
245,97
245,98
245,101
245,102
246,96
246,97
246,98
246,101
246,102
246,103
246,104
247,96
247,169
247,170
247,171
247,172
247,173
247,174
248,96
248,167
248,168
248,169
248,170
248,171
248,172
248,173
248,174
249,96
249,111
249,112
249,113
249,114
249,171
249,172
249,173
249,174
250,96
250,111
250,112
250,113
250,114
250,115
250,116
250,171
250,172
250,173
250,174
251,93
251,94
251,175
251,176
252,94
252,105
253,107
254,99
254,107
254,198
254,199
254,200
254,237
255,99
255,107
255,198
255,199
255,200
255,201
255,202
255,237
256,99
256,107
256,198
256,199
256,234
256,235
256,237
257,99
257,107
257,198
257,199
257,232
257,233
257,234
257,235
257,237
258,98
258,100
258,108
258,109
258,172
258,173
258,199
258,235
258,236
259,98
259,100
259,172
259,173
259,174
259,199
259,235
259,236
260,95
260,96
260,97
260,99
260,198
260,199
260,237
261,99
261,106
261,107
261,198
261,199
261,237
262,199
262,235
262,236
262,237
262,238
262,239
263,199
263,235
263,236
263,237
263,239
263,240
263,241
263,242
263,243
264,194
264,195
264,196
264,197
264,198
264,199
265,98
265,100
265,108
265,109
265,172
265,173
265,235
265,236
266,98
266,100
266,172
266,173
266,174
266,235
266,236
267,95
267,96
267,98
267,100
267,172
267,173
267,174
267,235
267,236
268,96
268,97
268,99
268,198
268,199
268,235
268,237
269,99
269,107
269,198
269,199
269,235
269,237
270,235
270,236
270,237
270,238
270,239
271,235
271,236
271,237
271,239
271,240
271,241
271,242
271,243
272,194
272,195
272,196
272,197
272,198
272,199
272,235
273,95
273,96
273,97
273,98
273,101
274,108
274,109
274,170
274,171
274,172
274,173
275,170
275,171
275,172
275,173
275,174
276,95
276,96
276,170
276,171
276,172
276,173
276,174
